Année;Projet;Nom du site;ECHANTILLON;ECHANTILLON;date prélèvement ;Profondeur prélévement (cm);Mode d'usage sol;Sous classe mode d'usage sol;Contexte;% Argile;% Limon;% Sable;Texture (profil);site;Département;Coordonnées (Degré Minute seconde);Latitude (DMS);Longitude (DMS);Coordonnées parcelle (DD);Latitude parcelle (DD);Longitude parcelle (DD);Altitude (m);Pente (%);Type de sol;Climat;Matériau parental ;Lithologie;Teneur en Calcaire (g.kg-1);Pierrosité;Acquisition_IR;Date acquisition IR
2010;Bioindicateur.2;Thil;B10-Th-TS-1;TS1;Mars - avril 2010;0-15;Culture;GC;AB + Travail du sol superficiel;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;En cours;
2010;Bioindicateur.2;Thil;B10-Th-TS-2;TS2;Mars - avril 2010;0-15;Culture;GC;AB + Travail du sol superficiel;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-TS-3;TS3;Mars - avril 2010;0-15;Culture;GC;AB + Travail du sol superficiel;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-TS-4;TS4;Mars - avril 2010;0-15;Culture;GC;AB + Travail du sol superficiel;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-TR-1;TR1;Mars - avril 2010;0-15;Culture;GC;AB + Travail du sol réduit;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-TR-2;TR2;Mars - avril 2010;0-15;Culture;GC;AB + Travail du sol réduit;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-TR-3;TR3;Mars - avril 2010;0-15;Culture;GC;AB + Travail du sol réduit;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-TR-4;TR4;Mars - avril 2010;0-15;Culture;GC;AB + Travail du sol réduit;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-LA-1;LA1;Mars - avril 2010;0-15;Culture;GC;AB + Labour agronomique;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-LA-2;LA2;Mars - avril 2010;0-15;Culture;GC;AB + Labour agronomique;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-LA-3;LA3;Mars - avril 2010;0-15;Culture;GC;AB + Labour agronomique;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-LA-4;LA4;Mars - avril 2010;0-15;Culture;GC;AB + Labour agronomique;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-LT-1;LT1;Mars - avril 2010;0-15;Culture;GC;AB + Labour traditionnel;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-LT-2;LT2;Mars - avril 2010;0-15;Culture;GC;AB + Labour traditionnel;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-LT-3;LT3;Mars - avril 2010;0-15;Culture;GC;AB + Labour traditionnel;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Thil;B10-Th-LT-4 ;LT4;Mars - avril 2010;0-15;Culture;GC;AB + Labour traditionnel;15;26,5;58,5;sablo-limoneux;Thil;Ain (01);"N45°49'9.44"" E5° 2'2.62""";"N45°49'9.44""";"E5° 2'2.62""";45.81929 N, 5.03596 E;45.81929 N;5.03596 E;180;nulle;FLUVIOSOL;Continental océanique dégradé;dépôts d’alluvions;x;220,6;x;Faite;
2010;Bioindicateur.2;Yvetot;B10-Yv-PP-1;PP1;Mars - avril 2010;0-15;Prairie;Prairie permanente;Prairie permanente;16,3;63,3;20,4;Limon sablo-argileux;Yvetot;Seine-Maritime (76);;;;49.611181 N,  0.736019 E;49.611181 N;0.736019 E;134;x;NEOLUVISOL;Tempéré océanique;loess sur argile à silex;Craie couverte d'argile à silex;Non carbonaté;x;Faite;
2010;Bioindicateur.2;Yvetot;B10-Yv-PP-2;PP2;Mars - avril 2010;0-15;Prairie;Prairie permanente;Prairie permanente;16,3;63,3;20,4;Limon sablo-argileux;Yvetot;Seine-Maritime (76);;;;49.611181 N,  0.736019 E;49.611181 N;0.736019 E;134;x;NEOLUVISOL;Tempéré océanique;loess sur argile à silex;Craie couverte d'argile à silex;Non carbonaté;x;Faite;
2010;Bioindicateur.2;Yvetot;B10-Yv-PP-3;PP3;Mars - avril 2010;0-15;Prairie;Prairie permanente;Prairie permanente;16,3;63,3;20,4;Limon sablo-argileux;Yvetot;Seine-Maritime (76);;;;49.611181 N,  0.736019 E;49.611181 N;0.736019 E;134;x;NEOLUVISOL;Tempéré océanique;loess sur argile à silex;Craie couverte d'argile à silex;Non carbonaté;x;Faite;
