Année;Projet;Echantillon.Date;Echantillon;date prélèvement ;Humidité;Argile.g.kg;Limons.g.kg;Sables.g.kg;Argile.%;Limons.%;Sables.%;C org;N tot;C/N;MO;pH eau;Cal total;CEC;P2O5;BIOMASSE;C-MOV;RESP C-CO2;RESP_SPE;N_MIN;Ergosterol total;Ergosterol libre;ADN total;ADN 18S;ADN 16S;OPRF;RESP_OXYTOP;ARYLS;GALACTO;DESHYDRO;UREASE;LACCASE;LIP;ARYLN;B_GLUCO;P_AC;P_ALC;CELL;NAG;XYL;"FDA

";PLFA_GRAM+_TOT;PLFA_GRAM-_TOT;PLFA_BACT_TOT;PLFA_FONG_TOT;PLFA_FONG_BACT;PLFA_19_TOT;PLFA_ISO_ANTEISO;PLFA_SAT_MONOINSAT;PLFA_TOT;PP;AWCD 
;Bioindicateur.2;;B10-Th-TS-1;;9,89;174;280;546;17,4;28;54,6;18,915;1,882;10,1;32,72295;8,04;185;12,15;0,183;794;4,2;685,567;0,03083694;29,6111;1,871;1,38;23,75646;0,6391262;1,39E+10;3,55E+08;0,7285524;2,130465;3,70143;0,6708009;52,83847;11,98546;1,726131;6,730499;5,27E+00;5,60E+01;1,73E+01;5,29E-01;1,03E+00;2,76E-02;6,68E-01;0,2646103;0,3487543;0,4298658;0,02829525;0,06582344;0,02710756;0,9638274;0,9123232;110,6943;13;0,2496792
;Bioindicateur.2;;B10-Th-TS-2;;6,2;104;154;742;10,4;15,4;74,2;11,715;1,093;10,7;20,26695;8,18;203,2;7,01;0,183;544;4,64;500,7329;0,03287375;25,12913;1,366;1,224;21,30036;0,2587944;1,70E+10;4,28E+08;0,4808738;1,307606;1,981092;0,05529567;38,72483;5,282552;0,910242;4,814061;3,80E+00;3,91E+01;2,91E+01;4,74E-01;0,00E+00;2,14E-02;7,91E-01;0,262906;0,3375732;0,4257292;0,03180549;0,07470827;0,02596485;0,993379;0,9192758;114,4433;11;0,2286254
;Bioindicateur.2;;B10-Th-TS-3;;6,83;112;204;684;11,2;20,4;68,4;15,233;1,382;11;26,35309;8,13;218,2;8,25;0,194;702;4,61;520,5137;0,02648116;27,61662;1,428;1,505;22,57134;0,3812382;1,37E+10;3,73E+08;0,603949;1,329135;2,577187;0,1648401;39,06909;6,098354;1,441169;5,160158;4,47E+00;4,29E+01;2,36E+01;3,19E-01;8,39E-01;4,47E-02;9,64E-01;0,2757374;0,3136463;0,4057603;0,03603521;0,08880911;0,02824757;0,9579287;1,133033;100,2492;15;0,2865269
;Bioindicateur.2;;B10-Th-TS-4;;8,89;178;273;549;17,8;27,3;54,9;16,845;1,645;10,2;29,14185;8,13;198,9;11,3;0,151;632;3,76;489,163;0,02764258;25,68862;1,702;1,41;23,35679;0,6512822;1,05E+10;3,24E+08;0,5601873;1,985479;3,43363;0,5004111;46,92467;9,39044;0,8662392;4,819044;5,21E+00;4,11E+01;2,47E+01;1,39E-01;1,12E+00;9,73E-03;7,20E-01;0,2737885;0,3243111;0,4014456;0,04426959;0,1102754;0,02648172;0,9999726;1,04314;108,0727;10;0,2029839
;Bioindicateur.2;;B10-Th-TR-1;;6,62;121;217;662;12,1;21,7;66,2;12,757;1,223;10,4;22,06961;8,24;196;8,4;0,155;556;4,36;528,2856;0,03393407;31,17018;1,278;1,269;22,7057;0,9057389;1,07E+10;2,36E+08;0,4279577;1,164769;2,225177;0,0564079;39,67528;4,775767;1,67395;3,603003;4,95E+00;4,50E+01;1,95E+01;1,02E+00;0,00E+00;2,93E-02;7,73E-01;0,2802748;0,3893592;0,5005808;0,00775266;0,01548733;0,03366292;1,003794;0,7288614;183,1503;14;0,2621075
;Bioindicateur.2;;B10-Th-TR-2;;6,53;126;205;669;12,6;20,5;66,9;12,512;1,268;9,9;21,64576;8,22;196,8;8,38;0,123;546;4,37;443,6088;0,02901679;26,10333;0,95;1,047;23,87648;0,5687232;1,76E+10;4,15E+08;0,3680994;0,8665563;1,703377;0,08318706;31,64917;5,525384;0,9493763;3,940656;4,30E+00;4,31E+01;1,80E+01;7,44E-01;0,00E+00;2,03E-02;6,53E-01;0,3018781;0,3382368;0,4763677;0,01523997;0,03199203;0,03238516;1,096982;0,9440374;166,429;15;0,2282025
;Bioindicateur.2;;B10-Th-TR-3;;5,83;115;200;685;11,5;20;68,5;12,475;1,174;10,6;21,58175;8,17;230,9;7,82;0,132;589;4,73;544,838;0,0330365;31,09568;0,968;0,992;19,8875;0,617433;1,62E+10;4,48E+08;0,3955082;1,02219;1,64373;0,02380492;34,41523;4,141832;1,061626;3,283289;4,76E+00;3,69E+01;1,91E+01;6,91E-01;1,19E+00;2,70E-02;6,16E-01;0,2941789;0,3289325;0,4485033;0,01616195;0,03603531;0,03299309;1,045904;1,07164;142,2237;13;0,2367025
;Bioindicateur.2;;B10-Th-TR-4;;10,17;182;290;528;18,2;29;52,8;16,587;1,619;10,2;28,69551;8,18;202,1;11,85;0,119;663;4;550,7202;0,02966603;28,86017;1,114;1,401;19,97586;0,695471;2,26E+10;5,85E+08;0,5219964;1,329694;1,957018;0,3482171;39,16323;5,187588;1,486995;4,576277;4,62E+00;3,88E+01;2,12E+01;3,26E-01;9,67E-01;9,11E-03;4,27E-01;0,2952687;0,3427585;0,4455677;0,02241493;0,05030645;0,0330198;0,9789233;0,9899042;98,3832;14;0,2365466
;Bioindicateur.2;;B10-Th-LA-1;;7,11;126;219;655;12,6;21,9;65,5;13,35;1,234;10,8;23,0955;8,23;192,4;8,98;0,144;474;3,55;383,1744;0,02887088;21,89113;0,971;0,972;19,52188;0,289852;1,55E+10;2,12E+08;0,4011866;1,259548;2,167633;0,1298111;32,7696;2,98508;0,9606085;3,894244;3,99E+00;3,34E+01;1,64E+01;7,16E-01;0,00E+00;0,00E+00;5,65E-01;0,3153919;0,3430764;0,4828334;0,01179856;0,02443609;0,03572884;0,9780819;0,9414512;118,7682;12;0,267586
;Bioindicateur.2;;B10-Th-LA-2;;5,97;124;201;675;12,4;20,1;67,5;11,105;1,096;10,1;19,21165;8,24;194;7,93;0,124;396;3,57;313,4032;0,02826508;18,3951;0,585;0,659;17,79598;0,4031632;1,02E+10;2,54E+08;0,2473117;1,071678;1,841486;0,1076967;28,0692;2,333765;0,8330328;3,264892;2,72E+00;3,53E+01;1,51E+01;4,10E-01;2,52E-01;2,20E-04;4,75E-01;0,3217736;0,3098316;0,4466782;0,008699755;0,01947656;0,03613456;0,9345678;1,154316;89,36082;13;0,2323011
